Source,Target,Type,Weight,videos
UC2AjjZ0k-Rba8fiuwpz1R2Q,UCByed56loleOPhcbb5hmFOA,Undirected,2,2
UC7MUmXqD_kEChxYFME0bdtg,UCCD5yY6oDcu-PvLnP4FIJ8A,Undirected,1,1
UC11JFCoslUUMTuAsUPH8RdQ,UCIzAIM-zatIDHErC0Z23hbQ,Undirected,11,11
UCI2MZlf_9bVyYjZo5HCzm7A,UCudIFFuK0taWP5xClJYev8Q,Undirected,1,1
UCLJ3grahec536YBny4LQ5uQ,UCeiP7wkPDz4m9mw4OY7YjhQ,Undirected,22,22
UC5cjT2zbFg9Ld-wB3iBAcig,UCKP3PMVMfZjaSxOPfuw9sig,Undirected,1,1
UCEV5aivM6_AvV8x7oMjzEjQ,UCKAaY2d_EQJcWWmwFVvhMxw,Undirected,1,1
UCEV5aivM6_AvV8x7oMjzEjQ,UCQ1NXps0onlktNoDqipVIWA,Undirected,1,1
UCKAaY2d_EQJcWWmwFVvhMxw,UCQ1NXps0onlktNoDqipVIWA,Undirected,1,1
UCEQwE-wTawpGLOlJkMvU9cQ,UCyz8oUmD4A4aKqpMfjynhIw,Undirected,1,1
UCDXvOFXV4l7HtZkP7ibBZaQ,UCkV1YLql2SpsNQob3NtOO7A,Undirected,1,1
UCEickjZj99-JJIU8_IJ7J-Q,UCGXcXG8GCL0Y9muJWJm9pzw,Undirected,8,8
UCEickjZj99-JJIU8_IJ7J-Q,UCuC7Ry0wKiQiwuhOyQcYCZw,Undirected,8,8
UCGXcXG8GCL0Y9muJWJm9pzw,UCuC7Ry0wKiQiwuhOyQcYCZw,Undirected,8,8
UCYHBdrAe8cdCHHeowi5iUZQ,UCpCcnmf8LYnwrKKZXOKnrEg,Undirected,12,12
UCFKDcjx5ekaoMog_9zw82fA,UCmVoIfd7II6lVCTovtncaNQ,Undirected,1,1
UCHhQcZSONr_oP_oDO9lUD-A,UCklMI0drexg8fgYqWIF4TjA,Undirected,1,1
UCVj6f69lAdaF4aM_ke3FI3g,UCc2_YFxL02cbiBLRkg1XinQ,Undirected,1,1
UCKzffzoHBE1bmYs8tAuXTrw,UCeUqHU-SGK-DDoBb2v0aACg,Undirected,8,8
UC1QTdYauIX6amnimFQWBzwA,UCdubelOloxR3wzwJG9x8YqQ,Undirected,9,9
UC8DBqUhc3eamMSFxnvLeiUQ,UCEC4D0dTTJr_EEnEJz15hnQ,Undirected,1,1
UC8DBqUhc3eamMSFxnvLeiUQ,UCoOt4BpmiLlkEih3gX7_WQg,Undirected,1,1
UCEC4D0dTTJr_EEnEJz15hnQ,UCoOt4BpmiLlkEih3gX7_WQg,Undirected,9,9
UCBx231jNeUk4cUXc4lBdYpQ,UCF0XsHr6Qz7OpliF_EdO63A,Undirected,1,1
UC9FCkwbKLCLwjvoGRLg9mzQ,UCNhqvQMXIgRfjAGmxQqdNRw,Undirected,4,4
UC9FCkwbKLCLwjvoGRLg9mzQ,UCkToh0AM-mn01WOT2TFR6JQ,Undirected,1,1
UCNhqvQMXIgRfjAGmxQqdNRw,UCkToh0AM-mn01WOT2TFR6JQ,Undirected,7,7
UC4IEuHe9jBNKRMaA4Bon9nQ,UCG4vvCdYI3-fsRIhAwv6BQA,Undirected,1,1
UC15kXCeJeiMvIKAO8XqyYgw,UCA8O45b5lazQurYzRQDZeNA,Undirected,5,5
UCFDneoP3jEYNtuBR0eye-XQ,UCtP65UGIxJEpd18FZT-gWSg,Undirected,8,8
UCBS4UaoUfi3xQ8nJlzuKXpw,UCFwwX-up6JnaD5_Z--s03CQ,Undirected,23,23
UCBS4UaoUfi3xQ8nJlzuKXpw,UCP7YRIYJ4aUpyu8771vhjxw,Undirected,21,21
UCBS4UaoUfi3xQ8nJlzuKXpw,UC_LjiLumE3lE8n3V52S4oNw,Undirected,2,2
UCFwwX-up6JnaD5_Z--s03CQ,UCP7YRIYJ4aUpyu8771vhjxw,Undirected,21,21
UCFwwX-up6JnaD5_Z--s03CQ,UC_LjiLumE3lE8n3V52S4oNw,Undirected,1,1
UCP7YRIYJ4aUpyu8771vhjxw,UC_LjiLumE3lE8n3V52S4oNw,Undirected,1,1
UCCa5PYs0T9_W-Qxx-0TOlKg,UCHneDUCVe8SJ3uXAAxaFRgA,Undirected,2,2
UC_PVUCRc-vpj-WQBOm38q3A,UCjpSpnp5bodk3PJMgEOeV0w,Undirected,1,1
UCtL5uJ_OIDUnooCPC3gFnFw,UCtvf9CPuttrS142tsDYvEqQ,Undirected,3,3
UCtL5uJ_OIDUnooCPC3gFnFw,UCvcrvrpBp6MKNhJf6q16WGA,Undirected,3,3
UCtvf9CPuttrS142tsDYvEqQ,UCvcrvrpBp6MKNhJf6q16WGA,Undirected,3,3
UCFcoU14QQEl5PR7H1r_AaLw,UCSHxW8yZ6e2eNRGVGIZxohQ,Undirected,17,17
UCFcoU14QQEl5PR7H1r_AaLw,UCiwGFzLY8_HP8VeMyYZskOg,Undirected,1,1
UCSHxW8yZ6e2eNRGVGIZxohQ,UCiwGFzLY8_HP8VeMyYZskOg,Undirected,1,1
UC-Wr2-YzN5yptco_QXav2og,UCBHjy-HoBMdATpUMTQt1wpA,Undirected,8,8
UC-Wr2-YzN5yptco_QXav2og,UCb77j37rubV-cF-Q5AdZwag,Undirected,8,8
UC-Wr2-YzN5yptco_QXav2og,UCcUlIWOT3wEtgLJ0u9txP9w,Undirected,8,8
UC-Wr2-YzN5yptco_QXav2og,UCqiZSGgeTTevIgHMERck7-Q,Undirected,8,8
UC-Wr2-YzN5yptco_QXav2og,UCwRDUGIZ6f-kh_0_EzjnFgg,Undirected,8,8
UCBHjy-HoBMdATpUMTQt1wpA,UCb77j37rubV-cF-Q5AdZwag,Undirected,12,12
UCBHjy-HoBMdATpUMTQt1wpA,UCcUlIWOT3wEtgLJ0u9txP9w,Undirected,8,8
UCBHjy-HoBMdATpUMTQt1wpA,UCqiZSGgeTTevIgHMERck7-Q,Undirected,12,12
UCBHjy-HoBMdATpUMTQt1wpA,UCwRDUGIZ6f-kh_0_EzjnFgg,Undirected,12,12
UCb77j37rubV-cF-Q5AdZwag,UCcUlIWOT3wEtgLJ0u9txP9w,Undirected,8,8
UCb77j37rubV-cF-Q5AdZwag,UCqiZSGgeTTevIgHMERck7-Q,Undirected,12,12
UCb77j37rubV-cF-Q5AdZwag,UCwRDUGIZ6f-kh_0_EzjnFgg,Undirected,12,12
UCcUlIWOT3wEtgLJ0u9txP9w,UCqiZSGgeTTevIgHMERck7-Q,Undirected,8,8
UCcUlIWOT3wEtgLJ0u9txP9w,UCwRDUGIZ6f-kh_0_EzjnFgg,Undirected,8,8
UCqiZSGgeTTevIgHMERck7-Q,UCwRDUGIZ6f-kh_0_EzjnFgg,Undirected,12,12
UCNfWKKKpMrEcFf4q5xsp8BA,UC_nib780bt_8Yr9ky518paQ,Undirected,1,1
