Id,Label,url,Main Topic,Total Views,Total Videos,Subscribers
UCMDQxm7cUx3yXkfeHa5zJIQ,YouTube Viewers,https://www.youtube.com/channel/UCMDQxm7cUx3yXkfeHa5zJIQ,Technology,383353178,177,13200000
UCStaiwu-FAgp_RC_tBiLh9A,YouTube Music,https://www.youtube.com/channel/UCStaiwu-FAgp_RC_tBiLh9A,Hip hop music,172191743,66,1740000
UCs9_ujGwhCU0BBO6RfTzyEw,ItsJustJay,https://www.youtube.com/channel/UCs9_ujGwhCU0BBO6RfTzyEw,,166,1,1350
UCqZQlzSHbVJrwrn5XvzrzcA,NBC Sports,https://www.youtube.com/channel/UCqZQlzSHbVJrwrn5XvzrzcA,Entertainment,5461056754,48872,5370000
UCm0f25HAdDa4kMcD_dJPa_g,PinguinD14,https://www.youtube.com/channel/UCm0f25HAdDa4kMcD_dJPa_g,Strategy video game,3116585,770,9290
UCS7ymygmWSouLD5N90Tt4Uw,SteelBS,https://www.youtube.com/channel/UCS7ymygmWSouLD5N90Tt4Uw,Action game,12026269,431,21600
UCse2f5kmznfkMt0xppwY8VQ,Banpa,https://www.youtube.com/channel/UCse2f5kmznfkMt0xppwY8VQ,Strategy video game,3297769,368,15200
UC4BvTjB-32p0hCe3sdmf2AQ,OG | AquaBS,https://www.youtube.com/channel/UC4BvTjB-32p0hCe3sdmf2AQ,Casual game,33092,39,63
UC3gUpaZvDknKkxeNfks4Rng,Steve Rachmad,https://www.youtube.com/channel/UC3gUpaZvDknKkxeNfks4Rng,Music,30896,6,482
UC9zY_E8mcAo_Oq772LEZq8Q,THE FIRST TAKE,https://www.youtube.com/channel/UC9zY_E8mcAo_Oq772LEZq8Q,Music of Asia,7075736151,1757,12100000
UClOZoLNwJVdNzkEhzeevBSA,ZICO,https://www.youtube.com/channel/UClOZoLNwJVdNzkEhzeevBSA,Hip hop music,820862606,270,1150000
UCztEY6czNyJKjRWMwuur9bg,幾田りら / Lilas Official,https://www.youtube.com/channel/UCztEY6czNyJKjRWMwuur9bg,Music of Asia,410191911,54,1000000
UC3IZKseVpdzPSBaWxBxundA,HYBE LABELS,https://www.youtube.com/channel/UC3IZKseVpdzPSBaWxBxundA,Electronic music,46302008160,3307,81500000
UCTk7wEWFxDGd1p1BUnUBINg,KOZ Entertainment,https://www.youtube.com/channel/UCTk7wEWFxDGd1p1BUnUBINg,Hip hop music,55643345,97,214000
UC-Fnix71vRP64WXeo0ikd0Q,IVE,https://www.youtube.com/channel/UC-Fnix71vRP64WXeo0ikd0Q,Lifestyle (sociology),4674399271,2481,5110000
UCYDmx2Sfpnaxg488yBpZIGg,STARSHIP,https://www.youtube.com/channel/UCYDmx2Sfpnaxg488yBpZIGg,Pop music,5959949448,2357,6710000
